Name,Skills,College,Degree,Field,Company,Position
Aisha Patel,"Machine Learning, Deep learning, Logistic Regression, k-means clustering, LSTM, Emperical Modelling",Inderprastha Engineering College Ghaziabad,B.Tech(Computers),Computers,Absolutdata Research & Analytics,Machine Learning Intern
Tanya Verma,"C, SQL, Python, R, Tableau, HP ALM Quality center, HP QTP, MS office, Trello, Streak CRM, automation tools, business processes, Chemistry, CRM, client, English, event management, functional, HP, image, team lead, machinery, Mathematics, Oil, developer, Physics, Programming, progress, Project management, Quick Test Professional, Quality, quality assurance, simulation, VB script","Syracuse University, Thapar University, Delhi Public School","N/A, B.E, Class XII","N/A, Chemical Engineering, N/A","N/A, N/A, N/A","Software Engineering Analyst, Software Engineering Analyst, Associate Software Engineer"
Sara Patel,"accounts payables, accounts receivables, Accounts Payable, Accounts Receivable, administrative functions, trial balance, banking, budget, bi, closing, Computer Applications, Credit, clients, Customer Service, data entry, delivery, driving, email, insurance, inventory, ledger, Access, Excel, Outlook, PowerPoint, Word, mortgage loan, Enterprise, policies, QuickBooks, Sales, sales reports, telecommunications, phone, workflow, written","Martinez Adult Education, Business Training Center City , State",Computer Applications Specialist Certificate Program,Computer Applications,"Company Name City , State, Company Name City , State, Company Name City , State, Company Name City , State, Company Name City , State, N/A","Accountant, Accounts Receivable Clerk, Mortgage Underwriter, Commercial Auto Underwriter, Personal Auto Underwriter, Claims Examiner"
Aanya Sinha,"Microsoft Project, Microsoft Office, Microsoft Visio, IBM Rationale DOORS, Communication/Presentations, Risk Analysis, Process Improvement, CMPro, Air Force, budget, Hardware, Conflict Management, continuous improvement, DC, delivery, DOORS, electrical engineering, electrical systems, Engineer, Estimating, senior management, functional, drawing, Hardware Design, IBM, Leadership, Team Leadership, Leadership Development, Materials, mechanical, mechanical engineering, Microsoft Visio, Navy, peer review, power distribution, power supplies, Presentations, Process Improvement, procurement, producing, Project Management, Project Planning, proposals, quality, Risk Analysis, schematics, Siemens, software engineering, staffing, Systems Engineering, video","Indiana University, University of Evansville, Villanova University","Master of Business Administration, Bachelor of Science, Project Management Graduate Certificate",", Electrical Engineering,","Company Name, Company Name, Company Name,","Multi-Skilled Engineering Manager, Lead Systems Engineer, Lead Electrical Engineer, Electrical Engineer"
Riya Kumar,"Machine Learning, Data Analytics, Data Manipulation, Data Mining, Deep Learning, Algorithms, Selenium, Jenkins, Python, Java, SQL, Quality Control","National Institute Of Science And Technology, Rourkela",B.Tech,Information Technology,Dass Systems,Junior Machine Learning Engineer
Aanya Jain,"Game Theory, Bounded Rationality, Cryptography, Algorithms, Social Networks, Analysis of Algorithms, Combinatorial Optimizations","Cornell University, Department of Computer Science, Tel Aviv University, Israel","PhD Candidate, Computer Science, B.Sc., Double major in Computer Science and Management","Computer Science, Computer Science and Management","Google, AdX group, Google, Google Research, Intel, Mobile Wireless Group","Summer Intern, Summer Intern, FW Developer"
Vikram Gupta,"Game Theory, Bounded Rationality, Cryptography, Algorithms, Social Networks, Analysis of Algorithms, Combinatorial Optimizations","Cornell University, Department of Computer Science, Tel Aviv University, Israel","PhD Candidate, Computer Science, B.Sc., Double major in Computer Science and Management","Computer Science, Computer Science and Management","Google, AdX group, Google, Google Research, Intel, Mobile Wireless Group","Summer Intern, Summer Intern, FW Developer"
Vihaan Kapoor,"Python, LeetCode, GDB, GitHub, HTML, MySQL, Lucidchart, Postman, OWASP ZAP, Jira",University of Texas,Bachelor of Science,Computer Science,"Charles Schwab, Sysco, Accenture","Computer Programmer, Systems Administrator, Help Desk Technician"
Neha Sharma,"Microsoft Office, Account Reconciliation Processes, Financial statements, Interpersonal, active-listening, and critical thinking skills, Proficient in Polish language, Data Entry, Superior analytical skills, General ledger proficiency, Administrative support, Customer service","Oakland University, Macomb Community College","Bachelor of Science, Associate","Accounting and Finance, Accounting","Company Name, Company Name, Company Name","Accountant, Branch Service Specialist, Cashier"
Karan Chauhan,"Architecting best practice technical solutions, Technical program management, QA/QM, Client management, Vendor management, Testing and commissioning planning and execution, Team leadership / cross-team collaboration, Engineering cost estimating, Engineering resource management and forecasting, Process improvement",University of California at Santa Barbara,Bachelor of Science,Electrical and Computer Engineering,"Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Regional Engineering Manager, Engineering Supervisor, Senior Engineer, Systems Engineer II, Control Systems Engineer I / II, Associate Systems Engineer"
Krishna Rao,"Artificial Intelligence, Deep Learning, Reinforcement Learning, Tensorflow Keras, Scikit learn, Numpy, Pandas, Matplotlib","IIIT D&M Kancheepuram, Chennai",B.Tech(IT),Information Technology,Larsen & Toubro,Analyst Intern
Riya Bose,"python, C++, Haskell, PyTorch, JAX, Pandas, scikit-learn, matplotlib, Linux, bash, Unity, HPC, git","University of Southern California, Viterbi School of Engineering, CACS Research Group, The University of Tokyo, User Interface Research Group, The University of Tokyo","Ph.D. in Computer Science, Master in Computer Science, Bachelor in Physics","Computer Science, Computer Science, Physics","Meta Inc., Cepton Inc., Meta Inc., Cepton Inc., USC Vision & Graphics Lab, Institute of Science and Technology Austria, University of Tokyo","Research Scientist, Software Engineer, Machine Learning Engineer Intern, Software Engineer Intern, Research Assistant, Research Intern, Research Assistant"
Ananya Bose,"Executive Decision Maker, Process Design & Improvement, New Product Development, Strategic Planning & Development, Lean & Six Sigma Practitioner, Product Design, Budgetary and Policy Development, Automation Design, Quality Control, Project Management & Execution, Economic Analysis, Ergonomic and Safety Conscious","KELLER GRADUATE SCHOOL OF MANAGEMENT, DEVRY UNIVERSITY, MINNESOTA STATE UNIVERSITY, NORTHWEST IOWA COMMUNITY COLLEGE","Master of Business Administration, Bachelor of Science, Manufacturing Engineering Technology","Project & Program Management, Political Science, Manufacturing Engineering Technology","Company Name, Company Name, Company Name, Company Name, Company Name","Engineering Manager, Project Manager, Senior Manufacturing Engineer, Senior Manufacturing Engineer, Manufacturing Engineer"
Krishna Jain,"Careful and active listener, Self-Starter & self-motivated, Hungry for growth and continuous learning, Proactive and energetic, Fluent in Spanish","University of California, Santa Cruz",Bachelors of Arts,Sociology,"Company Name, Company Name, Company Name","Business Development Manager, Business Development Manager, Talent Acquisition Consultant / Account Executive"
Sara Malhotra,"Snowflake, Python, C++, R, SQL, Tableau, PyTorch",University of British Columbia,B.S.,Engineering,"AbCellera, Microsoft, Swiss Re","Computer Vision Scientist, IT Data Scientist, Associate Data Scientist"
Arjun Ghosh,"Program Management, Portfolio Management, Process Analysis, Solution Design, Enterprise Software, Systems Integration, Data Management, Product Excellence, Agile Methodology, People Development, Leadership Development, Coaching/Mentoring","Claremont Graduate University, Claremont Graduate University, Mount St. Marys University","Ph.D., Master of Science, Bachelor of Arts","Computer Information Systems and Technology, Computer Information Systems and Technology, Business Administration","Company Name, Company Name, Company Name, Claremont Graduate University, Mount St. Marys University","Senior Engineering Program Manager, Founder/Principal Consultant, Senior Manager, Adjunct Professor, Instructor"
Diya Malhotra,"API, Approach, ATL, audio, backup, broadcast, C++, CLI, com, CA, Hardware, concept, Content, clients, documentation, dynamic HTML5, editing, XML, FTP, functional, drawing, GUI, http, IDs, Innovation, explorer, IP, JavaScript, json, LAN, MB, C#, MFC, office, Win, Windows, 2000, migration, NAS, OOP, page, Proxy, rendering, SAN, Scrum, servers, specification, team management, threads, troubleshoot, Video, Video Editing, Visual C++, workflow, writer","Illinois Institute of Technology, National Institute of Technology","M.S, B.E","Computer Science, Electronics and Communication Engineering","Company Name, Company Name, Company Name, Company Name","Software Engineering Manager, Software Engineering Manager, Principal Software Engineer, Software Engineer"
Meera Kapoor,"assisted living, interpersonal and communication, insurance, internal medicine, managing, marketing, marketing/sales, meetings, mentor, office, networking, organizing, orthopedics, outside sales, physical therapy, rehabilitation, sales, seminars, Team player, time management",ARIZONA STATE UNIVERSITY,B.A,Organizational Communication Business Management,"Company Name, Company Name, Company Name, Company Name","Business Development Manager, Marketing/Outside Physician Rep, Marketing Director, Resident Liaison"
Arjun Gupta,"Data Analysis, Data Mining, Deep Learning, Machine Learning, Artificial Intelligence",Jaipur University,B.Tech,CSE,"Empryean Data Consultant, Oclosia","N/A, Data Consultant"
Aisha Chauhan,"Software Engineer, Data Analyst, Machine Learning, Text Analytics, Software Development, Object Oriented Programming, Pandas, Numpy, Java, Python, SpringBoot, Laravel",Dr. Jagjiban Rao Engineering College,B.Tech,ECE,KLP Technology Solutions,Software Engineer
Ananya Chopra,"Analytical reasoning, Budget forecasting expertise, Account reconciliation expert, Financial planner, Effective time management, Advanced computer proficiency (PC and Mac), Strong organizational skills, Excellent managerial techniques, Microsoft Windows, Word, Excel, PowerPoint, Access, Adobe, Mac iOS, QuickBooks Pro 2015/2016/2017, Profit Pluss 2k8, SAP, Lacerte, ComplyRight, Real Estate P.M.A.S., AppFolio, ADP Ezlabor, ADP Payroll","Andr s Bello Catholic University, Andr s Bello Catholic University, Saint Anthony of La Florida, Fred Pryor Seminars & Career Track, KPMG, Andr s Bello Catholic University","BBA, Course, High School Diploma, Seminar, Seminar, Seminar","Accounting, Informatics Engineering, Science, California Payroll Law, Tax Planning and Prepaid Taxes, SAP","Company Name, Company Name, Company Name, Company Name, Company Name","Accountant, Accountant, Bookkeeper, Controller Assistant, Controller"
Priya Singh,"Machine Learning, Natural Language Processing, Deep Learning, Business Analysis, Python, Numpy, Pandas, Scikit Learn, Tensorflow, Keras, PySpark",Sl Thala Model college,B.Tech,,SaiKo Computation,Data Processing Junior Intern
Aanya Mehta,"Project Management, Secret Clearance, Risk management, Performance tracking and evaluation, Team building, Project analysis, Leadership mentoring, Business and requirements analysis, Operations management, Decisive leader","University of Maryland University College, Strayer University, Strayer University","Graduate Certificate, MBA, Bachelor of Science","Project Management, Management, Internetworking Technologies","Company Name, Company Name, Company Name","Engineering Specialist, Senior Technical Support Specialist, Tank Platoon Sergeant"
Diya Sharma,"Marketing, Sales, Budgets, Promotional, And Marketing, Sales And, Aviation, Class, Comprehensive Large Array Data Stewardship System, Excellent Multitasker, Simultaneous, Teaching, Training, Accounts And, Advertising, Branding, Community Outreach, From Sales, Its, Managed Sales, Of Sales, Public Relations, Increase, Administrative Support, Audit, Budgeting, Cost Control, Executive Assistant, For Selling, Ordering, Relationship Management, Scheduling, Selling And, Accountable For, Business Development, Clients, Forecasting, Implemented Sales, Key Accounts, Maintenance, Market Trends, Networking, Sale And, Sales Forecasting, Sales Objectives, Sales Strategies, Strategic Planning, The Sale, The Sales, Direct Marketing, Marketing Plan, Overall Sales, Project Development, Sales Plan, Energetic, Fundraising, Highly Organized, Mac, Quicken, San, Self Motivated, Storage Area Network, Very Organized, Finance, Shipping","CITY UNIVERSITY BUSINESS SCHOOL, THE UNIVERSITY OF HULL","MSc, BA (Honors)","Shipping, Trade and Finance, French and Italian","Company Name, Company Name, Company Name, Company Name","Business Development Manager, Sales and Marketing Manager, VP Sales and Marketing, Executive Assistant"
Sara Kumar,"Microsoft Office, Microsoft Project, Product development, Quality, Research, Six Sigma Green Belt, Solid Works, Visio, Prioritization, Personnel management, Critical thinking skills, Team management, Analyst, Agency, Consulting, Cost analysis, Critical thinking, Designing, Dialysis, Direction, Develop drug, Functional, IIa, ISO, Leadership, Market and development, Design process, Product management, Researching, Sales, Six Sigma, Validation",Temple University,Bachelor of Science,Mechanical Engineering,"N/A, Company Name, Company Name","Engineering Manager, Project Engineer II, Engineer I"
Sara Jain,"Payroll & Tax 940, 941 withholding Accounting, Accounts Payable & Receivable, Multi-State Sales Tax Filing, Analytical reasoning, Account reconciliation expert, QuickBooks, Peachtree, Payroll Mate, Adobe, Sage, PeachTree, Quick Books, MS Office, Medlin, Tax Slayer, Pro Series, Lotus I, II, III","Colorado Technical University, Rowan Cabarrus Community College","Bachelor of Science, Associate of Arts and Applied Science","Accounting, Accounting","Company Name, Company Name, Company Name, Company Name, Company Name","Senior Accountant, Accountants Payable/Receivable & Purchasing Administrator, Accountant, Accounts Receivable & Collection Manager, Accountant"
Aanya Chopra,"Machine Learning, Artificial Intelligence, Python, Predictive Analytics, Statistical Modeling, Data Visualization, Data Analysis, Data Mining, Data Validation, Power Bi, Text Analytics, Data Modeling, Data Analyst","Gujarat University, Vellore Institute of Technology","B.Tech, M.Tech",",",Volvo India Pvt. Ltd.,Data Analyst
Riya Chauhan,"Java, Spring, Javascript, CSS, HTML, REST APIs, React Native, Kotlin, PostgreSQL, MySQL",University of Santa Clara,Bachelor of Science,Computer Science,"Genesis10, Novalsys, Inc","Android Developer Intern, Android Developer Intern"
Priya Sinha,"Data Science, Data Analysis, Data Structures, Data Warehousing, Data Visualization, Data Mining, Machine Learning, Artificial Intelligence, Linear Regression, MongoDB, Python, Django, Java, SQL, C++","Anna University, Imarticus Learning","B.Tech, Masters Diploma","Computers, Analytics And Artificial Intelligence",Impiger Technologies,Junior Research Fellow
Aditya Chopra,"Visual Basic, SQL, C, C++, Java, Windows NT, Windows 2000, Windows XP, Windows Vista, Linux, Unix, SQL Server, Microsoft (MS) Access, Oracle, JCL, DB2, MS Visio, MS Excel, MS FrontPage, MS Word",Southeastern Louisiana University (SLU),Bachelor of Science,Computer Science,"SLU Computer Science Department, Financial Network Services, Pty Ltd.","Blog Writer, Unix Administrator Assistant"
Arjun Kapoor,"DMAIC, Failure Modes and Effective Analysis (FMEA), Kaizen, Lean Manufacturing, 5S, Value Stream Mapping, Root Cause Analysis, PFMEA, Statistical Process Control, Process Capability, ANOVA, Gage R & R, Programmable Logic controls (PLC), Discrete Control system (DCS), Microsoft office, Minitab, Pro-E, Auto-Cad, C++, C, Visual Basics","University at Buffalo, The State University of New York, University of Mumbai","Master of Science, Bachelor of Engineering","Industrial Engineering, Chemical Engineering","Company Name, Community Beer Works, National Organic Chemicals of India Limited (NOCIL), City, State","Engineering Intern, Lean Six Sigma Intern, Rubber Chemical Division, Production Supervisor"
Tanya Malhotra,"accounts payables, accounts receivables, Accounts Payable, Accounts Receivable, administrative functions, trial balance, banking, budget, bi, closing, Computer Applications, Credit, clients, Customer Service, data entry, delivery, driving, email, insurance, inventory, ledger, Access, Excel, Outlook, PowerPoint, Word, mortgage loan, Enterprise, policies, QuickBooks, Sales, sales reports, telecommunications, phone, workflow, written","Martinez Adult Education, Business Training Center City , State",Computer Applications Specialist Certificate Program,Computer Applications,"Company Name City , State, Company Name City , State, Company Name City , State, Company Name City , State, Company Name City , State, N/A","Accountant, Accounts Receivable Clerk, Mortgage Underwriter, Commercial Auto Underwriter, Personal Auto Underwriter, Claims Examiner"
Diya Bose,"budget, business strategy, consultation, Customer Relationship Management, delivery, direct mail, directing, Driving, email, senior management, Forecasting, graphic design, graphic, image, inside sales, inventory, Marketing Strategy, marketing, market, Marketing & Sales, mentor, New Business Development, Optimization, policies, presentations, Sales, strategy",Wichita State University,Associate of Arts,Advertising & Public Relations,"Company Name, Company Name, Company Name","New Business Development Manager, Inside Sales Manager, Inside Sales Manager"
Sara Rao,"Hiring and retention, Training and development, Recruiting, Compensation/payroll, Employee relations, Exceptional interpersonal skills, Compensation administration, Personnel records maintenance, Affirmative Action compliance, New hire orientation, Mediation expertise, API, Approach, ATL, audio, backup, broadcast, C++, CLI, com, CA, Hardware, concept, Content, clients, documentation, dynamic HTML5, editing, XML, FTP, functional, drawing, GUI, http, IDs, Innovation, explorer, IP, JavaScript, json, LAN, MB, C#, MFC, office, Win, Windows, 2000, migration, NAS, OOP, page, Proxy, rendering, SAN, Scrum, servers, specification, team management, threads, troubleshoot, Video, Video Editing, Visual C++, workflow, writer","Illinois Institute of Technology, National Institute of Technology","M.S, B.E","Computer Science, Electronics and Communication Engineering","Company Name, Company Name, Company Name, Company Name","Software Engineering Manager, Software Engineering Manager, Principal Software Engineer, Software Engineer"
Aisha Jain,"C/Python, R, STK, CATIA, ANSYS, LaTeX, SolidWorks, Microsoft Office, Microsoft Project","NORTMEAD HIGH SCHOOL, UNIVERSITY OF NEW SOUTH WALES (UNSW)","High School Diploma, Bachelor of Science, BE Bachelor of Engineering (Honours) (Aerospace)","MATHEMATICS, PHYSICS, CHEMISTRY, ENGINEERING, Aerospace","Company Name, Company Name, Company Name","Engineering intern, Tutor, Mechanical Design Engineer"
Tanya Ghosh,"Aderant/CMS, Excel, QuickBooks Pro, SQL, Access, Peachtree, Hyperion Essbase, Financial reporting, US GAAP principles, IFRS, Bookkeeping, Budget development, Individual tax returns",TEMPLE UNIVERSITY,Bachelor of Business Administration,Accounting,"Company Name, Company Name, Company Name","Senior Accountant, Accountant, Financial Analyst"
Tanya Joshi,"GIS, lighting designs using Visual Professional, Access, Excel, Microsoft Office, Power Point","University of South Florida, Hillsborough Community College","Bachelors, Associates Degree","Information Technology, N/A","Company Name, Company Name, Company Name, Company Name","Lighting Field Engineering Technician, Administrative Technical Aide, Customer Service Professional, Business Cooperative Education Student- Customer Care"
Diya Sinha,"Machine Learning, Cloud Architecture, Conversational AI, Natural Language Processing, Transformers, HuggingFace, RNN, LSTM, GRU","SJU College, Karnataka",B.Tech,ECE,Tech Mahindra,Associate System Engineer Intern
Priya Kumar,"Data Analyst, Data Analytics, Machine Learning, Artificial Intelligence, Linear Regression, Clustering, MongoDB, Flask, AWS, Git, Python, Neural Networks, PyTorch, C++, CNN, Image Processing",JCP COLLEGE OF ENGINEERING AND TECHNOLOGY,B.TECH,ELECTRICAL,CAPITUM INDIA,JUNIOR MACHINE LEARNING ENGINEER
Meera Rao,"active directory, bridges, client, Designing, DHCP, DNS, imaging, ITIL v, Managing, messaging, access, MCSE, mail, office, outlook, Microsoft technologies, Windows, window, Migration, network, networks, producer, routers, servers, SLA, technical support, desktop support, troubleshooting, upgrade","National Institute of Technology(NIT) City , India",Bachelor of Engineering (B.E,,"Avanade, Company Name, Company Name, Company Name","Software Engineering Team Lead, IT Analyst, Windows Administrator, Technical Support Engineer"
Ishaan Sharma,"C/C++, C#, Java, Javascript, Swift, HTML, MySQL, Python, Visual Studio, Eclipse, Unity, Xamarin Studio, Emacs, TextWrangler, Xcode, Sublime 2, OSX, Windows, Linux, iOS, Android, Unix Terminal, Adobe Photoshop, Adobe Indesign, Google Drive, Dropbox, Microsoft Office, iWorks, Google Calendar, Mozilla Thunderbird, Software Practice I/II, Cyber Ethics, Artificial Intelligence, Differential Equations, Computer Graphics, Probability and Stats, Computer Systems, Discrete Mathematics",Ensign College,Associate of Applied Science,Computer Science,"Undergraduate Student Advisory Committee, Association for Computing Machinery, Housing & Residential Education Office","Committee Chair, Member, Resident Advisor"
Neha Kumar,"QA Engineering software expertise - Design, Estimate, Execute, Maintain and Document., Technical communication skills - Bug Triage, reporting, technical reviews, Root cause analysis, Automation tools - Design and Implement, Collaborating with stakeholders - Roadmap, Managing releases, Demos, Risk mitigation planning, Test Methodologies: Regression Testing, Black box testing, Sanity testing, boundary analysis, requirement analysis (Static testing), Performance Testing, system integration testing, functional testing, manual testing., Test Artifacts: Test Estimation, Test plan, Test coverage, Traceability matrix, bug tracking, automation design, Test scenario engineering, Programming Tools: Python, Katalon studio, XLS data input, UNIX Shell/PERL scripting, Groovy, REST, JSON, XML, ISO 8583, EMV tags, TCP, HTTP, POSTMAN, curl-siege, Jmeter, COBOL, JCL, CICS, Postman, Operating Systems: Unix-AIX, Unix-Solaris, Linux, Windows, IBM-AIX, Virtual Systems: VMWare, VSphere, Proxmox, Payment terminals: VeriFone, Ingenico, Equinox, PAX and Innowi, Key Management, KPI, DUKPT, Key Injection, KEK, Version Control Tools: Git-bash, Git-stash, Git-lab, TorquiseSVN, SourceTree, VSS, Database and Tools: Oracle 11g, Oracle 12c, PostgreSQL, MongoDB, PGAdmin 4, SQL Developer, SQL management studio, Toad, DB2, Project Management: Confluence, Jira, Microsoft Office Suite, Bugzilla, redmine, HP Quality center, Project Management Methodologies: Agile, Scrum, Waterfall, Iterative, Talent Management tools: HireRight, iCIMS, POS Systems: Micros, Restaurant Manager, Symphony, positouch, broadPOS, EMV Systems : BTT (UL), ICCVerify, VCMS, VTS, Astrex, Discover RCT, ATS, MAS, MDFS, ACI-Interchange, ACI-PRM, ACI- ADM, TSYS CertifyNow, FirstData CertPro and more","Devi Ahilya University, Devi Ahilya University","Master of Computer Applications (MCA), Bachelors of Science","Computer Applications, Software Engineering, Databases, Networking, and Operating Systems, Electronics","Company Name, Company Name, Company Name","QA Engineering Manager, Software Certification Analyst, Project Lead"
Riya Verma,"Data Science, Machine Learning, Artificial Intelligence, Data Analysis, Keras, Tensorflow, Pytorch, Python, AWS, Kubernetes, Kafka, Spark, PySpark, Hadoop, Deep Learning, Chatbot, Natural language processing, Scikit-Learn","Lucknow University, BSI, Bombay","B.Tech, MSc","JKG College, Nashik, Computational Economics",Deloitte Consulting India Private Limited,Data Strategy and Delivery Specialist
Krishna Verma,"Python, Machine Learning, Deep Learning, Data Analysis, Computer Vision, AWS, Scikit-Learn, Numpy, Java, C++, SAP",V.V.I.T,B.TECH,,ACS Solutions Pvt. Ltd.,SOFTWARE ENGINEER - MACHINE LEARNING
Saanvi Gupta,"Client engagement, Communication, Analytical and business acumen, Demand creation pursuits, Federal Government experience, IT support services, Data storage, Interoperability, Advanced data analytics","Rochester Institute of Technology, Columbia University, Revenue Storm","Mechanical-Industrial Engineering, Executive Management, Business Development","Mechanical-Industrial Engineering, Accelerated Management Program, N/A","Company Name, Company Name, Applied Graphics Technologies, Company Name","Director, Business Development, CEO and President, Vice President, Commercial Digital Services, Director, National and Strategic Accounts - Digital and Applied Imaging Group"
Krishna Das,"Machine learning, Deep learning, Computer vision, Image processing, Neural networks, Contextual Reasoning",IIT Guwahati,B.Tech,Computer Science,,
Sara Reddy,"Software Development, Data Science, Data Analysis, Data Structure, Business Analytics, Java, Powerbi, Tableau, SQL, DBMS, RDBMS, GraphQL, NoSQL, MongoDB, Firebase, Advanced Excel, Cloud-Testing, AWS, Azure, Cloud Management",VIT-AP,B.Tech,Computers,CB,Intern
Aisha Chopra,"Data Science, Data Analysis, Data Structures, Data Warehousing, Data Visualization, Data Mining, Machine Learning, Artificial Intelligence, Linear Regression, MongoDB, Python, Django, Java, SQL, C++","Anna University, Imarticus Learning","B.Tech, Masters Diploma","Computers, Analytics And Artificial Intelligence",Impiger Technologies,Junior Research Fellow
Neha Malhotra,"accounting, balance sheet, budgets, client, clients, derivatives, drafting, equity, financial, financial accounting, financial statements, fixed assets, Funds, Government, Information Technology, inventory, investments, ledger, MA, Microsoft Excel, natural, page, payables, processes, programming, Real Estate, research, sales, scheme, telephone, writing skills","EMORY UNIVERSITY, Goizueta Business School",Bachelor of Business Administration,Accounting,"Company Name, Company Name, Company Name, Sole Proprietorship","Senior Accountant, Associate Fund Controller, Advisory, Forensic and Audit Associate, Accounting Tutor"
Sara Singh,"QA Engineering software expertise - Design, Estimate, Execute, Maintain and Document., Technical communication skills - Bug Triage, reporting, technical reviews, Root cause analysis, Automation tools - Design and Implement, Collaborating with stakeholders - Roadmap, Managing releases, Demos, Risk mitigation planning, Test Methodologies: Regression Testing, Black box testing, Sanity testing, boundary analysis, requirement analysis (Static testing), Performance Testing, system integration testing, functional testing, manual testing., Test Artifacts: Test Estimation, Test plan, Test coverage, Traceability matrix, bug tracking, automation design, Test scenario engineering, Programming Tools: Python, Katalon studio, XLS data input, UNIX Shell/PERL scripting, Groovy, REST, JSON, XML, ISO 8583, EMV tags, TCP, HTTP, POSTMAN, curl-siege, Jmeter, COBOL, JCL, CICS, Postman, Operating Systems: Unix-AIX, Unix-Solaris, Linux, Windows, IBM-AIX, Virtual Systems: VMWare, VSphere, Proxmox, Payment terminals: VeriFone, Ingenico, Equinox, PAX and Innowi, Key Management, KPI, DUKPT, Key Injection, KEK, Version Control Tools: Git-bash, Git-stash, Git-lab, TorquiseSVN, SourceTree, VSS, Database and Tools: Oracle 11g, Oracle 12c, PostgreSQL, MongoDB, PGAdmin 4, SQL Developer, SQL management studio, Toad, DB2, Project Management: Confluence, Jira, Microsoft Office Suite, Bugzilla, redmine, HP Quality center, Project Management Methodologies: Agile, Scrum, Waterfall, Iterative, Talent Management tools: HireRight, iCIMS, POS Systems: Micros, Restaurant Manager, Symphony, positouch, broadPOS, EMV Systems : BTT (UL), ICCVerify, VCMS, VTS, Astrex, Discover RCT, ATS, MAS, MDFS, ACI-Interchange, ACI-PRM, ACI- ADM, TSYS CertifyNow, FirstData CertPro and more","Devi Ahilya University, Devi Ahilya University","Master of Computer Applications (MCA), Bachelors of Science","Computer Applications, Software Engineering, Databases, Networking, and Operating Systems, Electronics","Company Name, Company Name, Company Name","QA Engineering Manager, Software Certification Analyst, Project Lead"
Tanya Jain,"Technical Support, Telecom Support, Networking Support, Software/PC/LAN Troubleshooting, Installing, Configuring, Troubleshooting Windows, Linux and OS X, Installing, Configuring, Troubleshooting SoHo Networks, Creating & Updating documentation, Software Installation, configuring, and Troubleshooting, Implementing, Configuring network and End User Security, Mobile device Support, Printer Support, CLI Knowledge, VOIP, Video Chat Support, Critical Thinking with Root Cause Analysis, Encryption, File Structures, Network Protocols, AAA Security Model, Accounts and Group policy, Browser Support, Operating Systems: Windows 7-10, Ubuntu 14.04, OS X 10.8-10.11, ChromeOS, iOS9, Android, Applications: MS Office 2010-2016 (Word, Excel, PowerPoint, Outlook), Google Apps (Drive, Docs, Sheets, Slides, Keep, Forms, Sites), Google Drive Sync Client, Internet Explorer, Firefox, Chrome, Safari, Edge, OpenVPN, Wireshark, Sublime Text, MSRA, Microsoft RDP, OpenSSH, Puppet, SCCM 2012 iOS-MDM, Networking: TCP/IP, DNS, DHCP, LAN/WAN, VPN/Remote Connectivity - OpenVPN, some basic Cisco iOS, Microsoft Virtual PC/Hyper-V, TeamViewer, Terminal Services, Netgear, Linksys, Firewall, Ports, experience in Routing & Switching (OSPF / BGP / VLAN / STP), Hardware: Dell, HP, IBM/Lenovo, Apple, Microsoft, desktop, laptops. Android Smartphones tables, and wearables. iPhones and iPads. Printers, Routers, Switches, Modems, Wireless Routers, Video Conferencing equipment (TV, Projectors, Microphones, Speakers), Security: Basic knowledge of IPSEC / SSL-VPN / NAT / GRE, some experience with Authentication Protocols (Radius / TACACS), Strong desire to learn more, A+, Active Directory, Antivirus, Apple, Bash, Basic, BGP, CAD, call center, CCNA, CD-ROM, CLI, Cisco iOS, Cisco, com, Hardware, computer hardware, Council, Critical Thinking, Encryption, Client, Dell, DHCP, documentation, DNS, Edge, email, Firewall, Forms, Help Desk Support, HP, IBM, Insurance, Internet Explorer, LAN, laptops, Linux and OS, Linux, access, Excel, mail, Microsoft Office, MS Office, Outlook, PowerPoint, Windows 7, Microsoft Windows, Windows, Word, Modems, MSI, Networking I, Network, Networking, Networks, Operating Systems, OS, OSPF, policies, Printer, Printers, Protocols, Python, Routers, Routing, scripting, Software Installation, SolidWorks, SSL, Switches, system administration, tables, TCP/IP, TV, troubleshooting I, Troubleshooting, Video, Video Conferencing, VPN, VOIP, WAN",,,,"Company Name, Company Name","Corporate Engineering Support Technician, Help Desk Support Analyst II"
Vihaan Patel,"Seasoned Leadership, Experienced Manager, Motivated, Balanced",Stephen F. Austin State University,Bachelor of Arts Degree,Communications,"Company Name, Company Name, Company Name, Company Name, Company Name","Partner; Business Development, Regional Manager; Consumer Engagement, Regional Event Marketing Manager, One-on-One Marketing Supervisor, Sales Representative"
Diya Mehta,"Software Engineer, Data Analyst, Machine Learning, Text Analytics, Software Development, Object Oriented Programming, Pandas, Numpy, Java, Python, SpringBoot, Laravel",Dr. Jagjiban Rao Engineering College,B.Tech,ECE,KLP Technology Solutions,Software Engineer
Arjun Sinha,"Data science, Deep learning, Neural networks, Artificial intelligence, Machine learning, Regression Analysis, Data structures, Embedded C, Microcontroller, Arduino, Network Management","Cummins College of Engineering, Pune",B.Tech,,Tata Sons,Analyst
